Time (s),X (hPa)
1654618486426392576,1010.729523
1654618487428386560,1010.729523
1654618488430491392,1010.729599
1654618489432595456,1010.729599
1654618490434485504,1010.724411
1654618491436172544,1010.724335
1654618491985701632,1010.722351
1654618492987625472,1010.722351
1654618493989876480,1010.723267
1654618494991819520,1010.723267
1654618495993931520,1010.719223
1654618496996497664,1010.719223
1654618497997587456,1010.721893
1654618498999712512,1010.722275
1654618500001777664,1010.725327
1654618501004007680,1010.72998
1654618502005801472,1010.735321
1654618503007748608,1010.736389
1654618504009440512,1010.740814
1654618505011658496,1010.747986
1654618506013385472,1010.753479
1654618507015448576,1010.761795
1654618508017260544,1010.766983
1654618509019499520,1010.772705
1654618510022108672,1010.779572
1654618511023117568,1010.78064
1654618512025004544,1010.786438
1654618513026793472,1010.788422
1654618514029684480,1010.788422
1654618515030535424,1010.788422
1654618516032308480,1010.791397
1654618517034383616,1010.791397
1654618518036088576,1010.788422
1654618519038240512,1010.781326
1654618520039988480,1010.78125
1654618521041856512,1010.781326
1654618522043667456,1010.782623
1654618523045451520,1010.784225
1654618524047342592,1010.790253
1654618525049292544,1010.792694
1654618526050934528,1010.792694
1654618527053168640,1010.78804
1654618528054737664,1010.78804
1654618529056862720,1010.786362
1654618530058719744,1010.784378
1654618531060881664,1010.779953
1654618532062685440,1010.777588
1654618533064690688,1010.775223
1654618534066396416,1010.771713
1654618535068805376,1010.771713
1654618536071013376,1010.773621
1654618537073241600,1010.773773
1654618538075304448,1010.77858
1654618539076980480,1010.782318
1654618540079421440,1010.786591
1654618541081249536,1010.788803
1654618542083079680,1010.792465
1654618543084862464,1010.796585
1654618544087032576,1010.799026
1654618545088908544,1010.800476
1654618546090859776,1010.809708
1654618547093120512,1010.809708
1654618548095652608,1010.807648
1654618549096801536,1010.806808
1654618550098719488,1010.806732
1654618551100710656,1010.803986
1654618552102582528,1010.803223
1654618553104492544,1010.800781
1654618554106389504,1010.796432
1654618555108735488,1010.796051
1654618556110758656,1010.795975
1654618557112028672,1010.796051
1654618558113872640,1010.805054
1654618559115801600,1010.805054
1654618560117786624,1010.804138
1654618561119555584,1010.800705
1654618562121289472,1010.794907
1654618563123025664,1010.793457
1654618564124651520,1010.793457
1654618565126707456,1010.797348
1654618566128835328,1010.800934
1654618567130068480,1010.805435
1654618568131759616,1010.811691
1654618569133595392,1010.814056
1654618570135412480,1010.8181
1654618571137435392,1010.819855
1654618572139571456,1010.823975
1654618573141335552,1010.826111
1654618574143146496,1010.829926
1654618575145257472,1010.834351
1654618576147240704,1010.838699
1654618577149049600,1010.840225
1654618578150854656,1010.840225
1654618579152645632,1010.838089
1654618580154461696,1010.834732
1654618581156417536,1010.83046
1654618582158175488,1010.825729
1654618583160354560,1010.820084
1654618584162317568,1010.812225
1654618585164226560,1010.808182
1654618586166206720,1010.799866
1654618587168506368,1010.796432
1654618588170497536,1010.796432
1654618589172331520,1010.795975
1654618590174648576,1010.797195
1654618591176283648,1010.797195
1654618592178614528,1010.797195
1654618593180396544,1010.79628
1654618594182371584,1010.794907
1654618595184344576,1010.792542
1654618596186060544,1010.792542
1654618597188373504,1010.792999
1654618598189932544,1010.793915
1654618599192076544,1010.793915
1654618600194026496,1010.79277
1654618601196467456,1010.792236
1654618602198691584,1010.788269
1654618603200627456,1010.78743
1654618604202727680,1010.7827
1654618605204016384,1010.7827
1654618606206041600,1010.78537
1654618607207822592,1010.790634
1654618608209878528,1010.790634
1654618609211609600,1010.793533
1654618610213381632,1010.793533
1654618611215372544,1010.790482
1654618612217423360,1010.788193
1654618613219548416,1010.788193
1654618614221297408,1010.789108
1654618615223457536,1010.792542
1654618616225441536,1010.799484
1654618617227770624,1010.801239
1654618618229546496,1010.802078
1654618619231534592,1010.802994
1654618620233069312,1010.802994
1654618621234973440,1010.802689
1654618622237081600,1010.802689
1654618623238546688,1010.803909
1654618624240673536,1010.803909
1654618625242336512,1010.803909
1654618626244122624,1010.803452
1654618627246114560,1010.801697
1654618628247768320,1010.801697
1654618629249604352,1010.80368
1654618630251813376,1010.805359
1654618631253514496,1010.807724
1654618632255224576,1010.809631
1654618633257482496,1010.812759
1654618634259630336,1010.812759
1654618635261452544,1010.812759
1654618636263254528,1010.812302
1654618637265439488,1010.808029
1654618638267293440,1010.80574
1654618639268709376,1010.803452
1654618640270616576,1010.802612
1654618641272508416,1010.802612
1654618642274610432,1010.814514
1654618643276346368,1010.822525
1654618644278579456,1010.829697
1654618645281019392,1010.836639
1654618646283677696,1010.836868
1654618647284948480,1010.841675
1654618648287048704,1010.841675
1654618649289030656,1010.840607
1654618650291028480,1010.839615
1654618651292771584,1010.838318
1654618652294611456,1010.836792
1654618653296703488,1010.832977
1654618654298405376,1010.829773
1654618655300371456,1010.826416
1654618656302413568,1010.820541
1654618657304191488,1010.817108
1654618658305901568,1010.813675
1654618659308013312,1010.811157
1654618660309804544,1010.807266
